name	source	chrom	start	end	strand	YB1_aer_MinION_raw	YB1_aer_MinION_cpm	YB1_aer_0508_raw	YB1_aer_0508_cpm	YB1_ana_v2_raw	YB1_ana_v2_cpm	YB1_ana_0507_raw	YB1_ana_0507_cpm	YB1_ana_0508_raw	YB1_ana_0508_cpm	SL7207_aer_0507_raw	SL7207_aer_0507_cpm	SL7207_aer_0509_raw	SL7207_aer_0509_cpm	SL7207_ana_0509_raw	SL7207_ana_0509_cpm	dAsd_aer_0511_raw	dAsd_aer_0511_cpm	dAsd_ana_0512_raw	dAsd_ana_0512_cpm	dAsd_aer_0514_raw	dAsd_aer_0514_cpm	dAsd_ana_0514_raw	dAsd_ana_0514_cpm
LSU_rRNA_eukarya	Rfam	NC_016810.1	291383	294304	+	34446	120956.53	95932	112080.44	11997	86538.46	86040	103354.83	51585	103813.23	77495	107268.57	61453	103681.05	128086	99231.86	100312	112785.77	114950	124289.08	32361	107402.44	99076	105042.07
isrA	Rfam	NC_016810.1	338935	339064	+	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
rdlD	Rfam	NC_016810.1	466718	466783	-	41	143.97	128	149.55	28	201.97	89	106.91	69	138.86	98	135.65	18	30.37	65	50.36	70	78.7	132	142.72	29	96.25	90	95.42
sraA	Rfam	NC_016810.1	504860	504957	-	18	63.21	132	154.22	3	21.64	75	90.09	67	134.84	72	99.66	31	52.3	103	79.8	47	52.84	69	74.61	17	56.42	57	60.43
DnaX	Rfam	NC_016810.1	541655	541720	+	2	7.02	5	5.84	4	28.85	12	14.41	4	8.05	8	11.07	10	16.87	34	26.34	7	7.87	6	6.49	5	16.59	10	10.6
sroB	Rfam	NC_016810.1	555491	555573	+	0	0.0	62	72.44	3	21.64	84	100.9	45	90.56	57	78.9	26	43.87	55	42.61	27	30.36	29	31.36	9	29.87	40	42.41
STnc480	Rfam	NC_016810.1	587335	587407	+	0	0.0	3	3.5	0	0.0	1	1.2	0	0.0	1	1.38	1	1.69	2	1.55	1	1.12	0	0.0	1	3.32	1	1.06
StyR-3	Rfam	NC_016810.1	638337	638481	+	0	0.0	0	0.0	1	7.21	0	0.0	0	0.0	2	2.77	0	0.0	0	0.0	1	1.12	0	0.0	0	0.0	0	0.0
STnc70	Rfam	NC_016810.1	669644	669793	+	99	347.64	454	530.42	70	504.93	161	193.4	174	350.17	352	487.24	132	222.71	210	162.69	216	242.86	335	362.22	30	99.57	160	169.63
rnk_leader	Rfam	NC_016810.1	679288	679397	-	3	10.53	23	26.87	1	7.21	18	21.62	19	38.24	6	8.31	21	35.43	43	33.31	10	11.24	8	8.65	3	9.96	10	10.6
cspA	Rfam	NC_016810.1	692289	692665	+	248	870.85	1537	1795.73	118	851.17	716	860.09	498	1002.21	1066	1475.56	774	1305.86	1669	1293.02	407	457.61	763	824.99	218	723.52	663	702.92
sroC	Rfam	NC_016810.1	728163	728324	-	2	7.02	19	22.2	1	7.21	29	34.84	19	38.24	16	22.15	37	62.42	91	70.5	14	15.74	19	20.54	7	23.23	24	25.45
CpoB_ybgF_thermometer	Rfam	NC_016810.1	817126	817265	+	34	119.39	73	85.29	7	50.49	97	116.52	68	136.85	56	77.52	63	106.29	177	137.13	143	160.78	161	174.08	51	169.26	135	143.13
RtT	Rfam	NC_016810.1	818195	818361	+	12	42.14	149	174.08	20	144.27	26	31.23	19	38.24	211	292.07	82	138.35	52	40.29	184	206.88	204	220.57	50	165.94	178	188.72
RtT	Rfam	NC_016810.1	818606	818775	+	2	7.02	28	32.71	8	57.71	8	9.61	6	12.07	32	44.29	22	37.12	18	13.95	112	125.93	83	89.74	28	92.93	65	68.91
RtT	Rfam	NC_016810.1	818914	819040	+	1	3.51	3	3.5	3	21.64	0	0.0	2	4.02	7	9.69	3	5.06	3	2.32	21	23.61	16	17.3	9	29.87	16	16.96
RtT	Rfam	NC_016810.1	819069	819194	+	0	0.0	5	5.84	1	7.21	0	0.0	1	2.01	1	1.38	0	0.0	1	0.77	3	3.37	1	1.08	1	3.32	2	2.12
Molybdenum	Rfam	NC_016810.1	869760	869905	+	1	3.51	15	17.52	3	21.64	7	8.41	3	6.04	12	16.61	8	13.5	17	13.17	14	15.74	15	16.22	9	29.87	21	22.26
RybB	Rfam	NC_016810.1	941811	941890	-	3	10.53	77	89.96	0	0.0	166	199.41	141	283.76	122	168.87	89	150.16	178	137.9	19	21.36	47	50.82	16	53.1	57	60.43
STnc490	Rfam	NC_016810.1	981569	981693	+	0	0.0	6	7.01	0	0.0	7	8.41	5	10.06	8	11.07	1	1.69	7	5.42	2	2.25	9	9.73	1	3.32	0	0.0
STnc130	Rfam	NC_016810.1	1001664	1001799	-	11	38.63	29	33.88	0	0.0	25	30.03	26	52.32	27	37.37	35	59.05	56	43.38	29	32.61	30	32.44	19	63.06	40	42.41
isrB	Rfam	NC_016810.1	1060745	1060833	+	1	3.51	14	16.36	5	36.07	20	24.02	15	30.19	16	22.15	5	8.44	10	7.75	14	15.74	24	25.95	4	13.28	36	38.17
isrG	Rfam	NC_016810.1	1093545	1093824	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.69	1	0.77	0	0.0	1	1.08	0	0.0	0	0.0
PyrD_leader	Rfam	NC_016810.1	1103214	1103288	+	0	0.0	4	4.67	0	0.0	2	2.4	1	2.01	1	1.38	2	3.37	3	2.32	2	2.25	1	1.08	1	3.32	6	6.36
isrI	Rfam	NC_016810.1	1133766	1133865	+	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.69	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
Ysr251	Rfam	NC_016810.1	1171293	1171487	-	0	0.0	10	11.68	0	0.0	0	0.0	3	6.04	5	6.92	4	6.75	11	8.52	3	3.37	4	4.32	1	3.32	6	6.36
STnc500	Rfam	NC_016810.1	1172479	1172763	+	1	3.51	4	4.67	0	0.0	5	6.01	1	2.01	2	2.77	1	1.69	3	2.32	9	10.12	5	5.41	0	0.0	2	2.12
RtT	Rfam	NC_016810.1	1180512	1180648	-	4	14.05	11	12.85	0	0.0	5	6.01	7	14.09	13	17.99	5	8.44	8	6.2	7	7.87	9	9.73	4	13.28	2	2.12
RtT	Rfam	NC_016810.1	1180696	1180832	-	3	10.53	14	16.36	2	14.43	6	7.21	5	10.06	19	26.3	7	11.81	9	6.97	6	6.75	11	11.89	6	19.91	5	5.3
ES056	Rfam	NC_016810.1	1186572	1186666	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.38	0	0.0	1	0.77	0	0.0	0	0.0	0	0.0	0	0.0
PyrC_leader	Rfam	NC_016810.1	1205698	1205750	-	1	3.51	6	7.01	0	0.0	6	7.21	5	10.06	6	8.31	10	16.87	15	11.62	9	10.12	10	10.81	4	13.28	21	22.26
rne5	Rfam	NC_016810.1	1227723	1228061	-	11	38.63	23	26.87	1	7.21	32	38.44	14	28.17	18	24.92	21	35.43	103	79.8	31	34.85	32	34.6	10	33.19	43	45.59
SraB	Rfam	NC_016810.1	1231210	1231378	+	21	73.74	54	63.09	5	36.07	50	60.06	28	56.35	37	51.22	22	37.12	63	48.81	52	58.47	70	75.69	20	66.38	52	55.13
STnc490	Rfam	NC_016810.1	1270865	1270989	+	1	3.51	6	7.01	0	0.0	4	4.8	0	0.0	3	4.15	3	5.06	3	2.32	12	13.49	13	14.06	2	6.64	5	5.3
STnc150	Rfam	NC_016810.1	1282501	1282767	-	10	35.11	32	37.39	0	0.0	24	28.83	16	32.2	16	22.15	27	45.55	32	24.79	3	3.37	10	10.81	3	9.96	16	16.96
isrC	Rfam	NC_016810.1	1286079	1286197	+	2	7.02	1	1.17	2	14.43	7	8.41	4	8.05	3	4.15	1	1.69	2	1.55	5	5.62	13	14.06	2	6.64	3	3.18
STnc510	Rfam	NC_016810.1	1288292	1289103	+	1	3.51	1	1.17	0	0.0	3	3.6	2	4.02	5	6.92	5	8.44	6	4.65	0	0.0	0	0.0	0	0.0	1	1.06
STnc100	Rfam	NC_016810.1	1290317	1290509	+	3	10.53	10	11.68	2	14.43	9	10.81	2	4.02	3	4.15	8	13.5	7	5.42	1	1.12	0	0.0	0	0.0	2	2.12
FourU	Rfam	NC_016810.1	1292310	1292375	+	1	3.51	8	9.35	1	7.21	12	14.41	5	10.06	2	2.77	3	5.06	5	3.87	10	11.24	19	20.54	0	0.0	2	2.12
isrD	Rfam	NC_016810.1	1302590	1302641	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.77	1	1.12	0	0.0	1	3.32	1	1.06
RyhB	Rfam	NC_016810.1	1309726	1309794	-	0	0.0	5	5.84	0	0.0	1	1.2	2	4.02	3	4.15	8	13.5	2	1.55	2	2.25	6	6.49	0	0.0	2	2.12
Phe_leader	Rfam	NC_016810.1	1372344	1372468	+	3	10.53	16	18.69	2	14.43	26	31.23	8	16.1	5	6.92	14	23.62	22	17.04	22	24.74	28	30.27	10	33.19	37	39.23
STnc540	Rfam	NC_016810.1	1376221	1376423	+	21	73.74	90	105.15	15	108.2	76	91.29	48	96.6	67	92.74	60	101.23	114	88.32	62	69.71	99	107.04	30	99.57	71	75.28
RprA	Rfam	NC_016810.1	1401682	1401790	-	0	0.0	15	17.52	1	7.21	83	99.7	60	120.75	12	16.61	13	21.93	103	79.8	75	84.33	113	122.18	24	79.65	121	128.29
rydB	Rfam	NC_016810.1	1407277	1407338	+	1	3.51	3	3.5	0	0.0	9	10.81	3	6.04	3	4.15	3	5.06	10	7.75	8	8.99	13	14.06	7	23.23	11	11.66
STnc550	Rfam	NC_016810.1	1465797	1466185	+	17	59.7	71	82.95	10	72.13	21	25.23	17	34.21	52	71.98	33	55.68	32	24.79	36	40.48	84	90.82	26	86.29	53	56.19
opuB	Rfam	NC_016810.1	1528815	1528953	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	3.37	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
STnc560	Rfam	NC_016810.1	1550710	1550930	+	12	42.14	254	296.76	6	43.28	249	299.11	270	543.37	213	294.83	210	354.3	645	499.7	255	286.71	475	513.59	176	584.12	810	858.78
STnc170	Rfam	NC_016810.1	1562636	1562969	-	1	3.51	0	0.0	0	0.0	0	0.0	1	2.01	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.06
isrF	Rfam	NC_016810.1	1586723	1587013	-	0	0.0	1	1.17	0	0.0	1	1.2	1	2.01	0	0.0	1	1.69	2	1.55	1	1.12	3	3.24	2	6.64	2	2.12
SECIS_3	Rfam	NC_016810.1	1609701	1609760	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.69	0	0.0	2	2.25	1	1.08	0	0.0	1	1.06
RydC	Rfam	NC_016810.1	1686525	1686591	+	0	0.0	3	3.5	0	0.0	4	4.8	1	2.01	2	2.77	2	3.37	5	3.87	2	2.25	4	4.32	1	3.32	6	6.36
MicC	Rfam	NC_016810.1	1702521	1702642	-	0	0.0	4	4.67	0	0.0	3	3.6	2	4.02	1	1.38	2	3.37	3	2.32	97	109.06	135	145.97	24	79.65	105	111.32
frnS	Rfam	NC_016810.1	1706787	1706905	-	8	28.09	427	498.88	15	108.2	494	593.41	536	1078.68	218	301.76	179	302.0	965	747.61	726	816.28	1278	1381.83	205	680.37	738	782.44
STnc180	Rfam	NC_016810.1	1764417	1764629	-	1	3.51	4	4.67	1	7.21	4	4.8	1	2.01	0	0.0	8	13.5	3	2.32	4	4.5	5	5.41	2	6.64	5	5.3
Trp_leader	Rfam	NC_016810.1	1775284	1775380	+	0	0.0	8	9.35	1	7.21	1	1.2	2	4.02	4	5.54	1	1.69	5	3.87	7	7.87	2	2.16	2	6.64	0	0.0
RtT	Rfam	NC_016810.1	1809550	1809676	+	6	21.07	46	53.74	14	100.99	16	19.22	16	32.2	52	71.98	37	62.42	29	22.47	58	65.21	87	94.07	37	122.8	111	117.68
RtT	Rfam	NC_016810.1	1809838	1809969	+	5	17.56	11	12.85	2	14.43	3	3.6	6	12.07	12	16.61	20	33.74	15	11.62	12	13.49	12	12.97	6	19.91	26	27.57
RtT	Rfam	NC_016810.1	1810012	1810143	+	1	3.51	3	3.5	1	7.21	1	1.2	2	4.02	2	2.77	9	15.18	7	5.42	5	5.62	6	6.49	2	6.64	14	14.84
RtT	Rfam	NC_016810.1	1810186	1810318	+	0	0.0	3	3.5	1	7.21	1	1.2	2	4.02	6	8.31	5	8.44	8	6.2	3	3.37	6	6.49	0	0.0	9	9.54
RtT	Rfam	NC_016810.1	1810361	1810492	+	0	0.0	4	4.67	1	7.21	3	3.6	1	2.01	4	5.54	3	5.06	6	4.65	7	7.87	7	7.57	2	6.64	5	5.3
STnc490	Rfam	NC_016810.1	1872605	1872729	-	1	3.51	19	22.2	2	14.43	9	10.81	7	14.09	8	11.07	4	6.75	11	8.52	12	13.49	13	14.06	3	9.96	8	8.48
sroD	Rfam	NC_016810.1	1872739	1872828	-	3	10.53	14	16.36	1	7.21	13	15.62	11	22.14	8	11.07	6	10.12	18	13.95	9	10.12	9	9.73	2	6.64	8	8.48
cspA	Rfam	NC_016810.1	1893040	1893500	-	122	428.4	433	505.89	54	389.52	234	281.09	116	233.45	219	303.14	120	202.46	225	174.31	167	187.77	208	224.9	80	265.51	257	272.48
SraC_RyeA	Rfam	NC_016810.1	1925616	1925761	+	15	52.67	114	133.19	8	57.71	143	171.78	95	191.18	32	44.29	23	38.8	47	36.41	28	31.48	73	78.93	18	59.74	64	67.85
SdsR_RyeB	Rfam	NC_016810.1	1925620	1925720	-	15	52.67	110	128.52	8	57.71	126	151.36	90	181.12	31	42.91	23	38.8	45	34.86	28	31.48	71	76.77	16	53.1	62	65.73
MicL	Rfam	NC_016810.1	1958512	1958820	-	33	115.88	135	157.72	26	187.55	143	171.78	87	175.08	90	124.58	42	70.86	59	45.71	12	13.49	24	25.95	6	19.91	26	27.57
STnc210	Rfam	NC_016810.1	1989971	1990148	+	1	3.51	4	4.67	0	0.0	11	13.21	8	16.1	7	9.69	9	15.18	20	15.49	5	5.62	1	1.08	3	9.96	7	7.42
STnc490	Rfam	NC_016810.1	2003770	2003894	-	4	14.05	6	7.01	0	0.0	5	6.01	3	6.04	4	5.54	5	8.44	8	6.2	2	2.25	6	6.49	0	0.0	4	4.24
DsrA	Rfam	NC_016810.1	2026220	2026304	-	0	0.0	2	2.34	0	0.0	2	2.4	0	0.0	0	0.0	0	0.0	4	3.1	2	2.25	0	0.0	2	6.64	1	1.06
rseX	Rfam	NC_016810.1	2034742	2034837	+	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.38	0	0.0	0	0.0	1	1.12	1	1.08	1	3.32	2	2.12
STnc220	Rfam	NC_016810.1	2036557	2036636	-	170	596.95	466	544.44	23	165.91	425	510.53	250	503.12	577	798.68	867	1462.77	1483	1148.92	10	11.24	43	46.49	106	351.8	200	212.04
cspA	Rfam	NC_016810.1	2036753	2037151	-	257	902.45	786	918.31	77	555.43	638	766.39	380	764.74	1077	1490.78	1064	1795.14	1922	1489.03	39	43.85	109	117.86	148	491.19	359	380.62
C4	Rfam	NC_016810.1	2070799	2070887	-	5	17.56	31	36.22	5	36.07	29	34.84	30	60.37	31	42.91	16	26.99	21	16.27	29	32.61	46	49.74	20	66.38	51	54.07
isrK	Rfam	NC_016810.1	2070911	2070988	-	4	14.05	28	32.71	3	21.64	29	34.84	24	48.3	31	42.91	13	21.93	18	13.95	27	30.36	43	46.49	19	63.06	50	53.01
EFASI	Rfam	NC_016810.1	2082930	2083059	+	0	0.0	1	1.17	0	0.0	0	0.0	0	0.0	0	0.0	1	1.69	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
Cobalamin	Rfam	NC_016810.1	2111613	2111788	-	0	0.0	4	4.67	2	14.43	1	1.2	2	4.02	4	5.54	0	0.0	2	1.55	5	5.62	10	10.81	4	13.28	5	5.3
STnc230	Rfam	NC_016810.1	2113084	2113167	+	1	3.51	1	1.17	0	0.0	2	2.4	1	2.01	0	0.0	0	0.0	0	0.0	1	1.12	3	3.24	1	3.32	2	2.12
STnc240	Rfam	NC_016810.1	2145047	2145124	-	0	0.0	4	4.67	0	0.0	0	0.0	4	8.05	0	0.0	4	6.75	1	0.77	5	5.62	6	6.49	4	13.28	9	9.54
His_leader	Rfam	NC_016810.1	2147158	2147282	+	10	35.11	93	108.65	0	0.0	65	78.08	48	96.6	42	58.14	14	23.62	56	43.38	44	49.47	66	71.36	18	59.74	70	74.22
JUMPstart	Rfam	NC_016810.1	2176368	2176407	-	1	3.51	8	9.35	0	0.0	6	7.21	5	10.06	6	8.31	1	1.69	7	5.42	10	11.24	10	10.81	4	13.28	15	15.9
algC	Rfam	NC_016810.1	2186109	2186160	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
JUMPstart	Rfam	NC_016810.1	2200544	2200583	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
SIB_RNA	Rfam	NC_016810.1	2211586	2211732	+	25	87.79	435	508.22	23	165.91	384	461.28	306	615.82	288	398.65	150	253.07	359	278.13	275	309.2	301	325.45	77	255.55	238	252.33
CyaR_RyeE	Rfam	NC_016810.1	2228844	2228929	+	0	0.0	3	3.5	0	0.0	4	4.8	2	4.02	5	6.92	5	8.44	7	5.42	8	8.99	8	8.65	2	6.64	19	20.14
TPP	Rfam	NC_016810.1	2239592	2239689	-	1	3.51	3	3.5	1	7.21	3	3.6	3	6.04	10	13.84	6	10.12	9	6.97	6	6.75	7	7.57	0	0.0	6	6.36
Peptidase-S11	Rfam	NC_016810.1	2264192	2264275	-	4	14.05	10	11.68	1	7.21	6	7.21	3	6.04	5	6.92	4	6.75	9	6.97	10	11.24	22	23.79	10	33.19	19	20.14
L25-Gammaproteobacteria	Rfam	NC_016810.1	2324101	2324127	+	49	172.06	145	169.41	12	86.56	76	91.29	45	90.56	68	94.13	42	70.86	111	85.99	120	134.92	182	196.79	46	152.67	121	128.29
isrG	Rfam	NC_016810.1	2342447	2342729	+	0	0.0	0	0.0	0	0.0	2	2.4	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	2.16	1	3.32	0	0.0
MicF	Rfam	NC_016810.1	2364627	2364721	+	0	0.0	4	4.67	0	0.0	24	28.83	21	42.26	6	8.31	13	21.93	30	23.24	65	73.08	83	89.74	22	73.02	154	163.27
isrH	Rfam	NC_016810.1	2392018	2392298	-	2	7.02	7	8.18	0	0.0	24	28.83	16	32.2	9	12.46	15	25.31	33	25.57	21	23.61	12	12.97	9	29.87	17	18.02
AaHKsRNA22	Rfam	NC_016810.1	2425129	2425223	+	9	31.6	15	17.52	2	14.43	28	33.63	16	32.2	8	11.07	11	18.56	34	26.34	8	8.99	12	12.97	3	9.96	10	10.6
STnc490	Rfam	NC_016810.1	2577514	2577638	-	1	3.51	6	7.01	0	0.0	3	3.6	3	6.04	8	11.07	4	6.75	7	5.42	4	4.5	8	8.65	2	6.64	5	5.3
STnc250	Rfam	NC_016810.1	2594504	2594598	-	4	14.05	3	3.5	0	0.0	12	14.41	6	12.07	6	8.31	13	21.93	17	13.17	5	5.62	34	36.76	2	6.64	14	14.84
sroE	Rfam	NC_016810.1	2653880	2653972	-	5	17.56	23	26.87	2	14.43	27	32.43	15	30.19	23	31.84	23	38.8	56	43.38	31	34.85	34	36.76	14	46.46	46	48.77
ryfA	Rfam	NC_016810.1	2672648	2672944	+	29	101.83	169	197.45	24	173.12	116	139.34	83	167.03	98	135.65	42	70.86	135	104.59	219	246.23	394	426.01	58	192.5	299	317.0
iscRS	Rfam	NC_016810.1	2680468	2680576	-	4	14.05	25	29.21	4	28.85	18	21.62	8	16.1	19	26.3	30	50.61	54	41.84	19	21.36	16	17.3	3	9.96	21	22.26
GlmY_tke1	Rfam	NC_016810.1	2705416	2705564	-	166	582.91	1352	1579.59	67	483.29	347	416.83	363	730.53	1008	1395.27	262	442.04	489	378.84	419	471.1	985	1065.03	142	471.28	494	523.75
rncO	Rfam	NC_016810.1	2723169	2723381	-	2	7.02	11	12.85	0	0.0	15	18.02	5	10.06	13	17.99	18	30.37	27	20.92	10	11.24	18	19.46	5	16.59	21	22.26
isrG	Rfam	NC_016810.1	2733758	2734037	+	0	0.0	0	0.0	0	0.0	2	2.4	0	0.0	0	0.0	0	0.0	1	0.77	0	0.0	0	0.0	0	0.0	0	0.0
isrI	Rfam	NC_016810.1	2759052	2759150	-	0	0.0	6	7.01	0	0.0	0	0.0	1	2.01	3	4.15	1	1.69	5	3.87	3	3.37	6	6.49	2	6.64	4	4.24
isrJ	Rfam	NC_016810.1	2759645	2759720	-	1	3.51	6	7.01	0	0.0	3	3.6	1	2.01	0	0.0	2	3.37	4	3.1	2	2.25	4	4.32	2	6.64	3	3.18
C4	Rfam	NC_016810.1	2760370	2760454	-	8	28.09	33	38.55	8	57.71	15	18.02	15	30.19	26	35.99	10	16.87	11	8.52	21	23.61	25	27.03	4	13.28	17	18.02
isrK	Rfam	NC_016810.1	2760479	2760556	-	1	3.51	21	24.53	1	7.21	9	10.81	4	8.05	8	11.07	10	16.87	10	7.75	17	19.11	17	18.38	2	6.64	10	10.6
c4-a1b1	Rfam	NC_016810.1	2760516	2760569	-	1	3.51	21	24.53	1	7.21	9	10.81	4	8.05	8	11.07	10	16.87	10	7.75	16	17.99	17	18.38	2	6.64	10	10.6
AsrC	Rfam	NC_016810.1	2777359	2778242	+	4	14.05	6	7.01	0	0.0	31	37.24	21	42.26	17	23.53	12	20.25	21	16.27	12	13.49	6	6.49	6	19.91	17	18.02
LSU_rRNA_archaea	Rfam	NC_016810.1	2797170	2800178	-	19962	70096.21	75411	88105.09	9826	70878.3	45271	54381.41	26533	53396.85	64466	89233.83	36101	60908.16	73134	56658.98	53426	60069.51	62717	67812.43	18987	63015.67	58925	62473.3
LSU_rRNA_eukarya	Rfam	NC_016810.1	2797182	2800018	-	19811	69565.98	75202	87860.91	9760	70402.22	45232	54334.56	26483	53296.22	64368	89098.18	36037	60800.19	73054	56597.01	53334	59966.07	62600	67685.92	18967	62949.29	58855	62399.08
StyR-44	Rfam	NC_016810.1	2800184	2800293	-	62	217.71	228	266.38	4	28.85	158	189.8	115	231.43	185	256.08	162	273.32	389	301.37	354	398.02	374	404.39	143	474.6	481	509.96
