lim_idx	lim_name	lim_type	sl1344_idx	sl1344_name	sl1344_locus_tag	match_type
243	acrR	mrna	461	acrR	SL1344_RS02430	exact_lower
244	mscK	mrna	462	mscK	SL1344_RS02435	exact_lower
245	ybaN	mrna	-1			none
246	apt	mrna	467	apt	SL1344_RS02460	exact_lower
247	dnaX	mrna	468	dnaX	SL1344_RS02465	exact_lower
248	ybaB	mrna	-1			none
249	recR	mrna	470	recR	SL1344_RS02475	exact_lower
250	htpG	mrna	471	htpG	SL1344_RS02480	exact_lower
251	adk	mrna	472	adk	SL1344_RS02485	exact_lower
252	hemH	mrna	473	hemH	SL1344_RS02490	exact_lower
253	gsk	mrna	475	gsk	SL1344_RS02500	exact_lower
254	ushA	mrna	478	ushA	SL1344_RS02515	exact_lower
255	ybaQ	mrna	-1			none
256	glsA	mrna	-1			none
257	ybaT	mrna	-1			none
258	cueR	mrna	483	cueR	SL1344_RS02540	exact_lower
259	fetA	mrna	486	fetA	SL1344_RS02555	exact_lower
260	fetB	mrna	487	fetB	SL1344_RS02560	exact_lower
261	ybbA	mrna	491	ybbA	SL1344_RS02580	exact_lower
262	ybbP	mrna	492	ybbP	SL1344_RS02585	exact_lower
263	rhsD	mrna	-1			none
264	ybbC	mrna	-1			none
265	allA	mrna	499	allA	SL1344_RS02620	exact_lower
266	allR	mrna	500	allR	SL1344_RS02625	exact_lower
267	gcl	mrna	501	gcl	SL1344_RS02630	exact_lower
268	hyi	mrna	-1			none
269	glxR	mrna	503	glxR	SL1344_RS02640	exact_lower
270	ybbW	mrna	-1			none
271	allB	mrna	506	allB	SL1344_RS02655	exact_lower
272	ybbY	mrna	-1			none
273	glxK	mrna	508	glxK	SL1344_RS02665	exact_lower
274	fdrA	mrna	-1			none
275	ylbE	mrna	-1			none
276	ylbF	mrna	-1			none
277	ybcF	mrna	-1			none
278	cysS	mrna	520	cysS	SL1344_RS02725	exact_lower
279	sfmA	mrna	-1			none
280	sfmC	mrna	-1			none
281	sfmD	mrna	-1			none
282	sfmH	mrna	-1			none
283	sfmF	mrna	531	sfmF	SL1344_RS02780	exact_lower
284	insE3	mrna	-1			none
285	insF3	mrna	-1			none
286	emrE	mrna	-1			none
287	ybcK	mrna	-1			none
288	ybcL	mrna	-1			none
289	ybcM	mrna	-1			none
290	ylcH	mrna	-1			none
291	ybcN	mrna	-1			none
292	ninE	mrna	-1			none
293	ybcO	mrna	-1			none
294	rusA	mrna	-1			none
295	ylcG	mrna	-1			none
296	quuD	mrna	-1			none
297	essD	mrna	-1			none
298	rrrD	mrna	-1			none
299	rzpD	mrna	-1			none
300	rzoD	mrna	-1			none
301	ybcW	mrna	-1			none
302	nohD	mrna	-1			none
303	tfaD	mrna	-1			none
304	tfaX	mrna	-1			none
305	appY	mrna	-1			none
306	cusC	mrna	-1			none
307	cusF	mrna	-1			none
308	cusB	mrna	-1			none
309	cusA	mrna	-1			none
310	pheP	mrna	546	pheP	SL1344_RS02870	exact_lower
311	hokE	mrna	-1			none
312	insL2	mrna	-1			none
313	fes	mrna	564	fes	SL1344_RS02960	exact_lower
314	ybdZ	mrna	-1			none
315	entF	mrna	566	entF	SL1344_RS02970	exact_lower
316	fepE	mrna	-1			none
317	entS	mrna	571	entS	SL1344_RS02995	exact_lower
318	entC	mrna	573	entC	SL1344_RS03005	exact_lower
319	entE	mrna	574	entE	SL1344_RS03010	exact_lower
320	entB	mrna	-1			none
321	entA	mrna	576	entA	SL1344_RS03020	exact_lower
322	entH	mrna	577	entH	SL1344_RS03025	exact_lower
323	cstA	mrna	578	cstA	SL1344_RS03030	exact_lower
324	ybdD	mrna	-1			none
325	ybdL	mrna	-1			none
326	ahpC	mrna	586	ahpC	SL1344_RS03070	exact_lower
327	ahpF	mrna	587	ahpF	SL1344_RS03075	exact_lower
328	ybdR	mrna	-1			none
329	dpiB	mrna	603	dpiB	SL1344_RS03155	exact_lower
330	dpiA	mrna	604	dpiA	SL1344_RS03160	exact_lower
331	pagP	mrna	606	pagP	SL1344_RS03170	exact_lower
332	cspE	mrna	607	cspE	SL1344_RS03175	exact_lower
333	tatE	mrna	610	tatE	SL1344_RS03190	exact_lower
334	ybeL	mrna	-1			none
335	ybeR	mrna	-1			none
336	djlB	mrna	-1			none
337	ybeU	mrna	-1			none
338	djlC	mrna	-1			none
339	ubiF	mrna	648	ubiF	SL1344_RS03390	exact_lower
340	nagE	mrna	655	nagE	SL1344_RS03460	exact_lower
341	glnS	mrna	656	glnS	SL1344_RS03465	exact_lower
342	chiP	mrna	657	chiP	SL1344_RS03470	exact_lower
343	chiQ	mrna	658	chiQ	SL1344_RS03475	exact_lower
344	seqA	mrna	667	seqA	SL1344_RS03520	exact_lower
345	pgm	mrna	668	pgm	SL1344_RS03525	exact_lower
346	ybfP	mrna	-1			none
347	ybfA	mrna	-1			none
348	rhsC	mrna	-1			none
349	ybfB	mrna	-1			none
350	ybfC	mrna	-1			none
351	ybfQ	mrna	-1			none
352	ybfD	mrna	-1			none
353	ybgA	mrna	-1			none
354	phr	mrna	-1			none
355	ybgI	mrna	682	ybgI	SL1344_RS03595	exact_lower
356	pxpB	mrna	683	pxpB	SL1344_RS03600	exact_lower
357	pxpC	mrna	684	pxpC	SL1344_RS03605	exact_lower
358	pxpA	mrna	685	pxpA	SL1344_RS03610	exact_lower
359	nei	mrna	698	nei	SL1344_RS03680	exact_lower
360	sdhC	mrna	702	sdhC	SL1344_RS03700	exact_lower
361	sdhD	mrna	703	sdhD	SL1344_RS03705	exact_lower
362	sdhA	mrna	704	sdhA	SL1344_RS03710	exact_lower
363	sdhB	mrna	705	sdhB	SL1344_RS03715	exact_lower
364	sucA	mrna	706	sucA	SL1344_RS03720	exact_lower
365	sucB	mrna	-1			none
366	sucC	mrna	708	sucC	SL1344_RS03730	exact_lower
367	sucD	mrna	709	sucD	SL1344_RS03735	exact_lower
368	mngA	mrna	-1			none
369	mngB	mrna	-1			none
370	cydA	mrna	710	cydA	SL1344_RS03745	exact_lower
371	cydB	mrna	346	cydB	SL1344_RS01850	exact_lower
372	cydX	mrna	712	cydX	SL1344_RS03755	exact_lower
373	ybgE	mrna	713	ybgE	SL1344_RS03765	exact_lower
374	ybgC	mrna	714	ybgC	SL1344_RS03770	exact_lower
375	tolQ	mrna	715	tolQ	SL1344_RS03775	exact_lower
376	tolR	mrna	716	tolR	SL1344_RS03780	exact_lower
377	tolA	mrna	717	tolA	SL1344_RS03785	exact_lower
378	tolB	mrna	718	tolB	SL1344_RS03790	exact_lower
379	pal	mrna	719	pal	SL1344_RS03795	exact_lower
380	cpoB	mrna	720	cpoB	SL1344_RS03800	exact_lower
381	nadA	mrna	721	nadA	SL1344_RS03830	exact_lower
382	pnuC	mrna	722	pnuC	SL1344_RS03835	exact_lower
383	aroG	mrna	725	aroG	SL1344_RS03850	exact_lower
384	acrZ	mrna	-1			none
385	modA	mrna	746	modA	SL1344_RS03955	exact_lower
386	modB	mrna	747	modB	SL1344_RS03960	exact_lower
387	modC	mrna	748	modC	SL1344_RS03965	exact_lower
388	pgl	mrna	750	pgl	SL1344_RS03975	exact_lower
389	ybhH	mrna	-1			none
390	ybhI	mrna	-1			none
391	ybhJ	mrna	-1			none
392	bioB	mrna	759	bioB	SL1344_RS04020	exact_lower
393	bioF	mrna	760	bioF	SL1344_RS04025	exact_lower
394	bioC	mrna	761	bioC	SL1344_RS04030	exact_lower
395	bioD	mrna	762	bioD	SL1344_RS04035	exact_lower
396	uvrB	mrna	763	uvrB	SL1344_RS04040	exact_lower
397	moaA	mrna	767	moaA	SL1344_RS04060	exact_lower
398	moaB	mrna	768	moaB	SL1344_RS04065	exact_lower
399	moaC	mrna	769	moaC	SL1344_RS04070	exact_lower
400	moaD	mrna	770	moaD	SL1344_RS04075	exact_lower
401	moaE	mrna	771	moaE	SL1344_RS04080	exact_lower
402	ybhL	mrna	-1			none
403	ybhM	mrna	-1			none
404	ybhQ	mrna	-1			none
405	rhlE	mrna	785	rhlE	SL1344_RS04150	exact_lower
406	dinG	mrna	786	dinG	SL1344_RS04155	exact_lower
407	ybiB	mrna	787	ybiB	SL1344_RS04160	exact_lower
408	hcxB	mrna	-1			none
409	ybiE	mrna	-1			none
410	rlmF	mrna	790	rlmF	SL1344_RS04180	exact_lower
411	yliM	mrna	-1			none
412	ompX	mrna	797	ompX	SL1344_RS04215	exact_lower
413	mntR	mrna	800	mntR	SL1344_RS04225	exact_lower
414	ybiR	mrna	-1			none
415	ybiT	mrna	-1			none
416	fsaA	mrna	-1			none
417	iaaA	mrna	811	iaaA	SL1344_RS04285	exact_lower
418	gsiA	mrna	812	gsiA	SL1344_RS04290	exact_lower
419	gsiB	mrna	813	gsiB	SL1344_RS04295	exact_lower
420	gsiC	mrna	814	gsiC	SL1344_RS04300	exact_lower
421	gsiD	mrna	815	gsiD	SL1344_RS04305	exact_lower
422	pdeI	mrna	-1			none
423	dgcI	mrna	-1			none
424	bssR	mrna	817	bssR	SL1344_RS04315	exact_lower
425	yliI	mrna	-1			none
426	dacC	mrna	827	dacC	SL1344_RS04370	exact_lower
427	mdfA	mrna	-1			none
428	rcdA	mrna	-1			none
429	ybjM	mrna	-1			none
430	ybjC	mrna	-1			none
431	nfsA	mrna	-1			none
432	rimK	mrna	838	rimK	SL1344_RS04430	exact_lower
433	ybjN	mrna	-1			none
434	potF	mrna	840	potF	SL1344_RS04440	exact_lower
435	potG	mrna	841	potG	SL1344_RS04445	exact_lower
436	potH	mrna	842	potH	SL1344_RS04450	exact_lower
437	potI	mrna	843	potI	SL1344_RS04455	exact_lower
438	ybjO	mrna	-1			none
439	rlmC	mrna	845	rlmC	SL1344_RS04465	exact_lower
440	ybjQ	mrna	-1			none
441	amiD	mrna	-1			none
442	ybjD	mrna	-1			none
443	macA	mrna	866	macA	SL1344_RS04570	exact_lower
444	macB	mrna	867	macB	SL1344_RS04575	exact_lower
445	yljB	mrna	-1			none
446	clpS	mrna	870	clpS	SL1344_RS04585	exact_lower
447	clpA	mrna	871	clpA	SL1344_RS04590	exact_lower
448	lrp	mrna	882	lrp	SL1344_RS04660	exact_lower
449	ftsK	mrna	883	ftsK	SL1344_RS04665	exact_lower
450	lolA	mrna	884	lolA	SL1344_RS04670	exact_lower
451	rarA	mrna	885	rarA	SL1344_RS04675	exact_lower
452	serS	mrna	886	serS	SL1344_RS04680	exact_lower
453	dmsA	mrna	887	dmsA	SL1344_RS04685	exact_lower
454	dmsB	mrna	888	dmsB	SL1344_RS04690	exact_lower
455	dmsC	mrna	-1			none
456	ycaD	mrna	-1			none
457	ycaM	mrna	-1			none
458	ycaK	mrna	-1			none
459	ycaP	mrna	-1			none
460	serC	mrna	899	serC	SL1344_RS04750	exact_lower
461	aroA	mrna	900	aroA	SL1344_RS04755	exact_lower
462	ycaL	mrna	-1			none
463	cmk	mrna	902	cmk	SL1344_RS04765	exact_lower
464	rpsA	mrna	903	rpsA	SL1344_RS04770	exact_lower
465	ihfB	mrna	904	ihfB	SL1344_RS04775	exact_lower
466	ycaI	mrna	-1			none
467	msbA	mrna	906	msbA	SL1344_RS04785	exact_lower
468	lpxK	mrna	907	lpxK	SL1344_RS04790	exact_lower
469	ycaQ	mrna	-1			none
470	ycaR	mrna	909	ycaR	SL1344_RS04800	exact_lower
471	kdsB	mrna	910	kdsB	SL1344_RS04805	exact_lower
472	ycbJ	mrna	-1			none
473	cmoM	mrna	913	cmoM	SL1344_RS04820	exact_lower
474	mukF	mrna	914	mukF	SL1344_RS04825	exact_lower
475	mukE	mrna	915	mukE	SL1344_RS04830	exact_lower
476	mukB	mrna	916	mukB	SL1344_RS04835	exact_lower
477	ldtD	mrna	917	ldtD	SL1344_RS04840	exact_lower
478	mepK	mrna	-1			none
479	gloC	mrna	-1			none
480	pepN	mrna	984	pepN	SL1344_RS05190	exact_lower
481	elfA	mrna	-1			none
482	elfD	mrna	-1			none
483	elfC	mrna	-1			none
484	elfG	mrna	-1			none
485	ycbU	mrna	-1			none
486	ycbV	mrna	-1			none
487	ycbF	mrna	-1			none
488	pyrD	mrna	985	pyrD	SL1344_RS05195	exact_lower
489	zapC	mrna	986	zapC	SL1344_RS05200	exact_lower
490	rlmL	mrna	-1			none
491	uup	mrna	-1			none
492	pqiA	mrna	990	pqiA	SL1344_RS05220	exact_lower
493	pqiB	mrna	991	pqiB	SL1344_RS05225	exact_lower
494	pqiC	mrna	992	pqiC	SL1344_RS05230	exact_lower
495	rmf	mrna	993	rmf	SL1344_RS05235	exact_lower
496	matP	mrna	996	matP	SL1344_RS05250	exact_lower
497	sxy	mrna	-1			none
498	helD	mrna	1002	helD	SL1344_RS05280	exact_lower
499	yccU	mrna	-1			none
500	yccX	mrna	1010	yccX	SL1344_RS05320	exact_lower
501	hyaA	mrna	1709	hyaA	SL1344_RS08915	exact_lower
502	hyaB	mrna	1710	hyaB	SL1344_RS08920	exact_lower
503	hyaC	mrna	1711	hyaC	SL1344_RS08925	exact_lower
504	hyaD	mrna	1712	hyaD	SL1344_RS08930	exact_lower
505	hyaE	mrna	1713	hyaE	SL1344_RS08935	exact_lower
506	hyaF	mrna	-1			none
507	appC	mrna	1715	appC	SL1344_RS08945	exact_lower
508	appB	mrna	1716	appB	SL1344_RS08950	exact_lower
509	appX	mrna	-1			none
510	appA	mrna	-1			none
511	insA4	mrna	-1			none
512	insB4	mrna	-1			none
513	cspG	mrna	-1			none
514	ymcF	mrna	-1			none
515	ymcE	mrna	-1			none
516	gnsA	mrna	-1			none
517	torT	mrna	3782	torT	SL1344_RS19690	exact_lower
518	torC	mrna	3780	torC	SL1344_RS19680	exact_lower
519	torA	mrna	3779	torA	SL1344_RS19675	exact_lower
520	torD	mrna	3778	torD	SL1344_RS19670	exact_lower
521	yccE	mrna	-1			none
522	agp	mrna	1043	agp	SL1344_RS05490	exact_lower
523	ymdF	mrna	-1			none
524	rutR	mrna	1047	rutR	SL1344_RS05510	exact_lower
525	ymdG	mrna	-1			none
526	putP	mrna	1050	putP	SL1344_RS05525	exact_lower
527	efeO	mrna	-1			none
528	efeB	mrna	-1			none
529	phoH	mrna	1051	phoH	SL1344_RS05535	exact_lower
530	dgcT	mrna	-1			none
531	ycdU	mrna	-1			none
532	ghrA	mrna	1059	ghrA	SL1344_RS05590	exact_lower
533	ycdX	mrna	-1			none
534	ycdY	mrna	-1			none
535	ycdZ	mrna	-1			none
536	csgB	mrna	1067	csgB	SL1344_RS05630	exact_lower
537	csgA	mrna	1068	csgA	SL1344_RS05635	exact_lower
538	csgC	mrna	1069	csgC	SL1344_RS05640	exact_lower
539	ymdA	mrna	-1			none
540	ymdB	mrna	1071	ymdB	SL1344_RS05650	exact_lower
541	clsC	mrna	-1			none
542	opgG	mrna	-1			none
543	opgH	mrna	-1			none
544	yceK	mrna	-1			none
545	trhO	mrna	-1			none
546	rimJ	mrna	1091	rimJ	SL1344_RS05750	exact_lower
547	yceH	mrna	-1			none
548	yceM	mrna	-1			none
549	murJ	mrna	1094	murJ	SL1344_RS05765	exact_lower
550	flgB	mrna	1098	flgB	SL1344_RS05785	exact_lower
551	flgC	mrna	1099	flgC	SL1344_RS05790	exact_lower
552	flgD	mrna	1100	flgD	SL1344_RS05795	exact_lower
553	flgE	mrna	1101	flgE	SL1344_RS05800	exact_lower
554	flgF	mrna	-1			none
555	flgG	mrna	1103	flgG	SL1344_RS05810	exact_lower
556	flgH	mrna	1104	flgH	SL1344_RS05815	exact_lower
557	flgI	mrna	-1			none
558	flgJ	mrna	1106	flgJ	SL1344_RS05825	exact_lower
