idx	name	locus_tag	type	start	end	strand
57	citS	SL1344_RS00290	mrna	67052	68392	-
58	citC	SL1344_RS00295	mrna	68637	69683	+
59	citD	SL1344_RS00300	mrna	69713	70006	+
60	citE	SL1344_RS00305	mrna	70003	70872	+
61	citF	SL1344_RS00310	mrna	70883	72403	+
62	citX	SL1344_RS00315	mrna	72403	72954	+
63	citG	SL1344_RS00320	mrna	72932	73840	+
64	dapB	SL1344_RS00325	mrna	74020	74841	+
65	SL1344_RS27595	SL1344_RS27595	mrna	74967	75242	-
66	carA	SL1344_RS00335	mrna	75883	77031	+
67	carB	SL1344_RS00340	mrna	77050	80277	+
68	caiF	SL1344_RS00345	mrna	80551	80946	+
69	caiE	SL1344_RS00350	mrna	81023	81619	-
70	caiD	SL1344_RS00355	mrna	81728	82513	-
71	caiC	SL1344_RS00360	mrna	82567	84120	-
72	caiA	SL1344_RS00370	mrna	85512	86654	-
73	caiT	SL1344_RS00375	mrna	86689	88206	-
74	SL1344_RS00385	SL1344_RS00385	mrna	88687	89457	+
75	SL1344_RS00390	SL1344_RS00390	mrna	89473	90414	+
76	SL1344_RS00395	SL1344_RS00395	mrna	90464	91750	+
77	fixX	SL1344_RS00400	mrna	91747	92034	+
78	SL1344_RS00405	SL1344_RS00405	mrna	92181	93521	+
79	SL1344_RS00410	SL1344_RS00410	mrna	93610	93840	+
80	SL1344_RS00415	SL1344_RS00415	mrna	94134	94550	+
81	srfN	SL1344_RS00420	mrna	94774	95064	-
82	SL1344_RS00430	SL1344_RS00430	mrna	95962	97851	+
83	kefF	SL1344_RS00435	mrna	98258	98788	+
84	kefC	SL1344_RS00440	mrna	98781	100643	+
85	folA	SL1344_RS00445	mrna	100842	101321	+
86	apaH	SL1344_RS00450	mrna	101427	102275	-
87	apaG	SL1344_RS00455	mrna	102286	102663	-
88	rsmA	SL1344_RS00460	mrna	102666	103487	-
89	pdxA	SL1344_RS00465	mrna	103484	104473	-
90	surA	SL1344_RS00470	mrna	104473	105759	-
91	lptD	SL1344_RS00475	mrna	105813	108173	-
92	djlA	SL1344_RS00480	mrna	108427	109239	+
93	rluA	SL1344_RS00485	mrna	109334	109993	-
94	rapA	SL1344_RS00490	mrna	110005	112911	-
95	polB	SL1344_RS00495	mrna	113085	115436	-
96	SL1344_RS00500	SL1344_RS00500	mrna	115480	116100	-
97	SL1344_RS00505	SL1344_RS00505	mrna	116819	117238	+
98	araD	SL1344_RS00510	mrna	117244	117939	-
99	araA	SL1344_RS00515	mrna	118080	119582	-
100	araB	SL1344_RS00520	mrna	119593	121302	-
101	araC	SL1344_RS00525	mrna	121643	122488	+
102	SL1344_RS00530	SL1344_RS00530	mrna	122607	123374	+
103	thiQ	SL1344_RS00535	mrna	123413	124120	-
104	thiP	SL1344_RS00540	mrna	124104	125714	-
105	thiB	SL1344_RS00545	mrna	125690	126673	-
106	sgrR	SL1344_RS00550	mrna	126851	128509	-
107	sgrT	SL1344_RS00555	mrna	128602	128724	+
108	leuD	SL1344_RS00560	mrna	129060	129665	-
109	leuC	SL1344_RS00565	mrna	129676	131076	-
110	leuB	SL1344_RS00570	mrna	131079	132170	-
111	leuA	SL1344_RS00575	mrna	132170	133741	-
112	leuL	SL1344_RS00580	mrna	133829	133915	-
113	leuO	SL1344_RS00585	mrna	134572	135516	+
114	ilvI	SL1344_RS00590	mrna	135838	137562	+
115	ilvN	SL1344_RS00595	mrna	137565	138056	+
116	cra	SL1344_RS00600	mrna	138340	139344	+
117	mraZ	SL1344_RS00605	mrna	139950	140408	+
118	rsmH	SL1344_RS00610	mrna	140410	141351	+
119	ftsL	SL1344_RS00615	mrna	141348	141713	+
120	ftsI	SL1344_RS00620	mrna	141729	143495	+
121	murE	SL1344_RS00625	mrna	143482	144969	+
122	murF	SL1344_RS00630	mrna	144966	146324	+
123	mraY	SL1344_RS00635	mrna	146318	147400	+
124	murD	SL1344_RS00640	mrna	147403	148719	+
125	ftsW	SL1344_RS00645	mrna	148719	149963	+
126	murG	SL1344_RS00650	mrna	149960	151027	+
127	murC	SL1344_RS00655	mrna	151146	152621	+
128	SL1344_RS00660	SL1344_RS00660	mrna	152614	153534	+
129	ftsQ	SL1344_RS00665	mrna	153536	154366	+
130	ftsA	SL1344_RS00670	mrna	154363	155625	+
131	ftsZ	SL1344_RS00675	mrna	155686	156837	+
132	lpxC	SL1344_RS00680	mrna	156938	157855	+
133	secM	SL1344_RS00685	mrna	158134	158631	+
134	secA	SL1344_RS00690	mrna	158693	161398	+
135	mutT	SL1344_RS00695	mrna	161550	161945	+
136	yacG	SL1344_RS00705	mrna	162267	162458	-
137	zapD	SL1344_RS00710	mrna	162468	163211	-
138	coaE	SL1344_RS00715	mrna	163211	163831	-
139	SL1344_RS00720	SL1344_RS00720	mrna	164057	165100	+
140	hofC	SL1344_RS00725	mrna	165131	166333	-
141	gspE	SL1344_RS00730	mrna	166323	167708	-
142	ppdD	SL1344_RS00735	mrna	167718	168155	-
143	nadC	SL1344_RS00740	mrna	168377	169270	-
144	ampD	SL1344_RS00745	mrna	169358	169921	+
145	ampE	SL1344_RS00750	mrna	169918	170772	+
146	SL1344_RS00755	SL1344_RS00755	mrna	170864	171814	-
147	SL1344_RS00760	SL1344_RS00760	mrna	171814	173220	-
148	aroP	SL1344_RS00765	mrna	173384	174757	-
149	pdhR	SL1344_RS00770	mrna	175320	176084	+
150	aceE	SL1344_RS00775	mrna	176244	178907	+
151	aceF	SL1344_RS00780	mrna	178922	180811	+
152	lpdA	SL1344_RS00785	mrna	181011	182435	+
153	SL1344_RS00790	SL1344_RS00790	mrna	182724	183008	+
154	SL1344_RS00795	SL1344_RS00795	mrna	183046	183837	-
155	acnB	SL1344_RS00805	mrna	185853	188450	+
156	SL1344_RS00810	SL1344_RS00810	mrna	188511	189353	-
157	yacL	SL1344_RS00815	mrna	189599	189961	+
158	SL1344_RS00820	SL1344_RS00820	mrna	190196	191149	+
159	dtnK	SL1344_RS00825	mrna	191146	192417	+
160	SL1344_RS00830	SL1344_RS00830	mrna	192407	193390	+
161	SL1344_RS00835	SL1344_RS00835	mrna	193400	194167	+
162	speD	SL1344_RS00840	mrna	194197	194991	-
163	speE	SL1344_RS00845	mrna	195012	195872	-
164	SL1344_RS00850	SL1344_RS00850	mrna	195979	196326	-
165	cueO	SL1344_RS00855	mrna	196528	198138	+
166	SL1344_RS00860	SL1344_RS00860	mrna	198216	200606	-
167	hpt	SL1344_RS00865	mrna	200812	201348	+
168	can	SL1344_RS00870	mrna	201406	202068	-
169	SL1344_RS00875	SL1344_RS00875	mrna	202177	203103	+
170	SL1344_RS00880	SL1344_RS00880	mrna	203100	203870	+
171	SL1344_RS00885	SL1344_RS00885	mrna	203987	205066	-
172	SL1344_RS00890	SL1344_RS00890	mrna	205075	207621	-
173	stiB	SL1344_RS00895	mrna	207648	208331	-
174	stiA	SL1344_RS00900	mrna	208379	208918	-
175	SL1344_RS00905	SL1344_RS00905	mrna	209289	209729	+
176	SL1344_RS00910	SL1344_RS00910	mrna	209791	211020	+
177	panD	SL1344_RS00915	mrna	211027	211407	-
178	panC	SL1344_RS00920	mrna	211502	212356	-
179	panB	SL1344_RS00925	mrna	212482	213273	-
180	folK	SL1344_RS00930	mrna	213394	213873	-
181	pcnB	SL1344_RS00935	mrna	213870	215267	-
182	gluQRS	SL1344_RS00940	mrna	215429	216325	-
183	dksA	SL1344_RS00945	mrna	216394	216849	-
184	sfsA	SL1344_RS00950	mrna	217026	217730	-
185	thpR	SL1344_RS00955	mrna	217747	218277	-
186	hrpB	SL1344_RS00960	mrna	218350	220779	+
187	mrcB	SL1344_RS00965	mrna	220920	223442	+
188	fhuA	SL1344_RS00970	mrna	223735	225924	+
189	fhuC	SL1344_RS00975	mrna	225973	226770	+
190	fhuD	SL1344_RS00980	mrna	226770	227660	+
191	fhuB	SL1344_RS00985	mrna	227675	229714	+
192	stfA	SL1344_RS00990	mrna	230653	231213	+
193	SL1344_RS00995	SL1344_RS00995	mrna	231299	233956	+
194	stfD	SL1344_RS01000	mrna	233974	234726	+
195	SL1344_RS01005	SL1344_RS01005	mrna	234745	235257	+
196	stfF	SL1344_RS01010	mrna	235254	235730	+
197	SL1344_RS01015	SL1344_RS01015	mrna	235730	236260	+
198	stfH	SL1344_RS01020	mrna	236260	237099	+
199	hemL	SL1344_RS01025	mrna	237207	238487	-
200	clcA	SL1344_RS01030	mrna	238657	240078	+
201	erpA	SL1344_RS01035	mrna	240160	240504	+
202	SL1344_RS01040	SL1344_RS01040	mrna	240605	241228	-
203	btuF	SL1344_RS01045	mrna	241265	242065	-
204	mtnN	SL1344_RS01050	mrna	242058	242756	-
205	dgt	SL1344_RS01055	mrna	242841	244358	+
206	degP	SL1344_RS01060	mrna	244488	245915	+
207	cdaR	SL1344_RS01065	mrna	246068	247225	+
208	SL1344_RS01070	SL1344_RS01070	mrna	247314	247700	-
209	SL1344_RS01075	SL1344_RS01075	mrna	247947	249248	+
210	dapD	SL1344_RS01080	mrna	249285	250109	-
211	glnD	SL1344_RS01085	mrna	250139	252811	-
212	map	SL1344_RS01090	mrna	253048	253842	-
213	rpsB	SL1344_RS01095	mrna	254293	255018	+
214	tsf	SL1344_RS01100	mrna	255276	256127	+
215	pyrH	SL1344_RS01105	mrna	256272	256997	+
216	frr	SL1344_RS01110	mrna	257144	257701	+
217	ispC	SL1344_RS01115	mrna	257842	259038	+
218	ispU	SL1344_RS01120	mrna	259351	260109	+
219	cdsA	SL1344_RS01125	mrna	260122	260979	+
220	rseP	SL1344_RS01130	mrna	260991	262343	+
221	bamA	SL1344_RS01135	mrna	262375	264789	+
222	skp	SL1344_RS01140	mrna	264912	265397	+
223	lpxD	SL1344_RS01145	mrna	265401	266426	+
224	fabZ	SL1344_RS01150	mrna	266532	266987	+
225	lpxA	SL1344_RS01155	mrna	266991	267779	+
226	lpxB	SL1344_RS01160	mrna	267779	268927	+
227	rnhB	SL1344_RS01165	mrna	268924	269520	+
228	dnaE	SL1344_RS01170	mrna	269544	273026	+
229	accA	SL1344_RS01175	mrna	273039	273998	+
230	SL1344_RS01180	SL1344_RS01180	mrna	274178	275941	+
231	ldcC	SL1344_RS01185	mrna	276017	278158	+
232	SL1344_RS01190	SL1344_RS01190	mrna	278214	278603	+
233	tilS	SL1344_RS01195	mrna	278666	279958	+
234	rof	SL1344_RS01200	mrna	280042	280302	-
235	SL1344_RS01205	SL1344_RS01205	mrna	280289	280489	-
236	SL1344_RS01210	SL1344_RS01210	mrna	280687	281232	+
237	arfB	SL1344_RS01215	mrna	281229	281651	+
238	nlpE	SL1344_RS01220	mrna	281683	282384	+
239	proS	SL1344_RS01225	mrna	282458	284176	-
240	tsaA	SL1344_RS01230	mrna	284287	284994	-
241	rcsF	SL1344_RS01235	mrna	284991	285395	-
242	metQ	SL1344_RS01240	mrna	285514	286329	-
243	SL1344_RS01245	SL1344_RS01245	mrna	286368	287021	-
244	metN	SL1344_RS01250	mrna	287014	288045	-
245	gmhB	SL1344_RS01255	mrna	288235	288801	+
246	dkgB	SL1344_RS01290	mrna	295060	295863	+
247	yafC	SL1344_RS01295	mrna	295884	296798	-
248	SL1344_RS01300	SL1344_RS01300	mrna	296903	298078	+
249	SL1344_RS01305	SL1344_RS01305	mrna	298210	299010	+
250	SL1344_RS01310	SL1344_RS01310	mrna	299088	299858	+
251	mltD	SL1344_RS01315	mrna	299914	301281	-
252	gloB	SL1344_RS01320	mrna	301353	302108	-
253	SL1344_RS01325	SL1344_RS01325	mrna	302143	302865	+
254	rnhA	SL1344_RS01330	mrna	302862	303329	-
255	dnaQ	SL1344_RS01335	mrna	303393	304124	+
256	SL1344_RS01345	SL1344_RS01345	mrna	304656	305711	-
257	tssG	SL1344_RS01350	mrna	305722	306717	-
258	tssF	SL1344_RS01355	mrna	306714	308597	-
259	tssE	SL1344_RS01360	mrna	308613	309107	-
260	SL1344_RS01365	SL1344_RS01365	mrna	309104	309928	-
261	tagK	SL1344_RS01370	mrna	309915	310817	-
262	tssH	SL1344_RS01380	mrna	311185	313824	+
263	tssB	SL1344_RS01385	mrna	313924	314466	+
264	tssC	SL1344_RS01390	mrna	314490	315983	+
265	SL1344_RS26505	SL1344_RS26505	mrna	315998	316156	+
266	SL1344_RS01395	SL1344_RS01395	mrna	316169	316615	+
267	SL1344_RS01400	SL1344_RS01400	mrna	316869	317354	+
268	SL1344_RS01405	SL1344_RS01405	mrna	317659	318144	+
269	SL1344_RS01410	SL1344_RS01410	mrna	318129	318512	+
270	SL1344_RS01415	SL1344_RS01415	mrna	318655	319140	+
271	tssJ	SL1344_RS01420	mrna	319207	319743	+
272	tssK	SL1344_RS01425	mrna	319747	321090	+
273	tssL	SL1344_RS01430	mrna	321087	322391	+
274	SL1344_RS01435	SL1344_RS01435	mrna	322396	323169	+
275	sciR	SL1344_RS01440	mrna	323372	323803	+
276	icmF	SL1344_RS01445	mrna	323837	327706	+
277	SL1344_RS01450	SL1344_RS01450	mrna	327706	328494	+
278	SL1344_RS01455	SL1344_RS01455	mrna	328491	328907	+
279	SL1344_RS01460	SL1344_RS01460	mrna	328931	329452	+
280	SL1344_RS01465	SL1344_RS01465	mrna	329849	332038	+
281	SL1344_RS01470	SL1344_RS01470	mrna	332062	332508	+
282	SL1344_RS01475	SL1344_RS01475	mrna	332527	336123	+
283	SL1344_RS01480	SL1344_RS01480	mrna	336117	336380	+
284	sciX	SL1344_RS01490	mrna	337307	337753	+
285	SL1344_RS01495	SL1344_RS01495	mrna	338316	338753	+
286	SL1344_RS01500	SL1344_RS01500	mrna	338806	339081	-
287	SL1344_RS27605	SL1344_RS27605	mrna	339266	339439	+
288	SL1344_RS01505	SL1344_RS01505	mrna	339522	339830	+
289	SL1344_RS24945	SL1344_RS24945	mrna	339932	340180	-
290	SL1344_RS27965	SL1344_RS27965	mrna	340233	340430	+
291	safA	SL1344_RS01525	mrna	341687	342199	+
292	safB	SL1344_RS01530	mrna	342283	343020	+
293	SL1344_RS01535	SL1344_RS01535	mrna	343044	345554	+
294	afaD	SL1344_RS01540	mrna	345576	346046	+
295	SL1344_RS01545	SL1344_RS01545	mrna	346452	347273	+
296	SL1344_RS01560	SL1344_RS01560	mrna	348088	349035	+
297	SL1344_RS01565	SL1344_RS01565	mrna	349152	349367	+
298	pagN	SL1344_RS01570	mrna	349371	350090	-
299	SL1344_RS01575	SL1344_RS01575	mrna	350421	350828	-
300	SL1344_RS01580	SL1344_RS01580	mrna	351199	351966	-
301	fadE	SL1344_RS01585	mrna	352075	354519	-
302	lpcA	SL1344_RS01590	mrna	354759	355337	+
303	SL1344_RS01595	SL1344_RS01595	mrna	355550	356317	+
304	dpaA	SL1344_RS01600	mrna	356288	357028	-
305	dinB	SL1344_RS01605	mrna	357278	358333	+
306	prfH	SL1344_RS01615	mrna	359681	360295	+
307	pepD	SL1344_RS01620	mrna	360451	361908	-
308	gpt	SL1344_RS01625	mrna	362157	362615	+
309	frsA	SL1344_RS01630	mrna	362704	363948	+
310	crl	SL1344_RS01635	mrna	364006	364407	+
311	phoE	SL1344_RS01640	mrna	364458	365510	-
312	proB	SL1344_RS01645	mrna	365793	366896	+
313	proA	SL1344_RS01650	mrna	366908	368158	+
314	SL1344_RS01675	SL1344_RS01675	mrna	370217	370540	+
315	SL1344_RS01680	SL1344_RS01680	mrna	370881	372119	+
316	leuD	SL1344_RS01690	mrna	373674	374300	+
317	SL1344_RS01695	SL1344_RS01695	mrna	374315	375193	+
318	SL1344_RS01700	SL1344_RS01700	mrna	375193	376107	+
319	SL1344_RS01705	SL1344_RS01705	mrna	376141	377106	+
320	SL1344_RS26525	SL1344_RS26525	mrna	377051	377323	-
321	SL1344_RS01715	SL1344_RS01715	mrna	378014	378412	+
322	stbE	SL1344_RS01720	mrna	378459	379217	-
323	stbD	SL1344_RS01725	mrna	379183	380508	-
324	SL1344_RS01730	SL1344_RS01730	mrna	380513	383080	-
325	stbB	SL1344_RS01735	mrna	383064	383825	-
326	SL1344_RS01740	SL1344_RS01740	mrna	383887	384423	-
327	SL1344_RS01745	SL1344_RS01745	mrna	385087	385821	+
328	SL1344_RS01755	SL1344_RS01755	mrna	386594	388168	+
329	SL1344_RS01760	SL1344_RS01760	mrna	388268	389011	+
330	SL1344_RS01765	SL1344_RS01765	mrna	388984	389472	+
331	SL1344_RS01770	SL1344_RS01770	mrna	389874	390398	+
332	SL1344_RS01775	SL1344_RS01775	mrna	390542	391183	+
333	SL1344_RS01780	SL1344_RS01780	mrna	391194	391418	+
334	SL1344_RS01785	SL1344_RS01785	mrna	391476	391835	+
335	mdsC	SL1344_RS01790	mrna	391905	393362	-
336	mdsB	SL1344_RS01795	mrna	393379	396546	-
337	mdsA	SL1344_RS01800	mrna	396543	397769	-
338	golT	SL1344_RS01805	mrna	398046	400334	+
339	golS	SL1344_RS01810	mrna	400346	400810	+
340	golB	SL1344_RS01815	mrna	400888	401082	+
341	SL1344_RS01825	SL1344_RS01825	mrna	401375	402628	+
342	SL1344_RS01830	SL1344_RS01830	mrna	402817	404775	+
343	SL1344_RS01835	SL1344_RS01835	mrna	404785	407757	+
344	ssaA	SL1344_RS01840	mrna	408034	408135	+
345	SL1344_RS01845	SL1344_RS01845	mrna	408252	409655	+
346	cydB	SL1344_RS01850	mrna	409652	410662	+
347	SL1344_RS27900	SL1344_RS27900	mrna	410712	410903	+
348	foxR	SL1344_RS01860	mrna	410999	412003	+
349	foxA	SL1344_RS01865	mrna	412149	414257	+
350	SL1344_RS01870	SL1344_RS01870	mrna	414298	414930	-
351	yahO	SL1344_RS01875	mrna	415162	415437	+
352	prpR	SL1344_RS01880	mrna	415573	417198	-
353	prpB	SL1344_RS01885	mrna	417463	418350	+
354	prpC	SL1344_RS01890	mrna	418473	419642	+
355	SL1344_RS01895	SL1344_RS01895	mrna	419682	421133	+
356	prpE	SL1344_RS01900	mrna	421174	423060	+
357	hemB	SL1344_RS01905	mrna	423164	424138	-
358	SL1344_RS01910	SL1344_RS01910	mrna	424651	427587	+
359	iprA	SL1344_RS01915	mrna	427673	428296	+
360	ampH	SL1344_RS01920	mrna	428341	429498	-
361	sbmA	SL1344_RS01925	mrna	429845	431065	+
362	yaiW	SL1344_RS01930	mrna	431080	432174	+
363	SL1344_RS01935	SL1344_RS01935	mrna	432212	432520	-
364	SL1344_RS01940	SL1344_RS01940	mrna	432788	433003	+
365	ddlA	SL1344_RS01945	mrna	433029	434123	-
366	SL1344_RS01950	SL1344_RS01950	mrna	434201	434914	+
367	SL1344_RS01955	SL1344_RS01955	mrna	435083	436294	+
368	iraP	SL1344_RS01960	mrna	436591	436851	+
369	psiF	SL1344_RS01965	mrna	437203	437523	+
370	adrA	SL1344_RS01970	mrna	437615	438727	+
371	proC	SL1344_RS01975	mrna	438742	439551	-
372	SL1344_RS01980	SL1344_RS01980	mrna	439691	440146	+
373	aroL	SL1344_RS01985	mrna	440331	440876	+
374	yaiA	SL1344_RS01990	mrna	440903	441094	+
375	SL1344_RS01995	SL1344_RS01995	mrna	441345	442022	+
376	ppnP	SL1344_RS02000	mrna	442093	442377	+
377	rdgC	SL1344_RS02005	mrna	442415	443326	-
378	mak	SL1344_RS02010	mrna	443452	444360	+
379	araJ	SL1344_RS02015	mrna	444382	445554	-
380	sbcC	SL1344_RS02020	mrna	445727	448867	-
381	sbcD	SL1344_RS02025	mrna	448864	450066	-
382	phoB	SL1344_RS02035	mrna	450281	450970	+
383	phoR	SL1344_RS02040	mrna	451040	452335	+
384	brnQ	SL1344_RS02045	mrna	452744	454063	+
385	proY	SL1344_RS02050	mrna	454138	455508	+
386	malZ	SL1344_RS02055	mrna	455670	457487	+
387	SL1344_RS02060	SL1344_RS02060	mrna	457559	458161	-
388	acpH	SL1344_RS02065	mrna	458371	458952	-
389	queA	SL1344_RS02070	mrna	459046	460110	+
390	tgt	SL1344_RS02075	mrna	460307	461434	+
391	yajC	SL1344_RS02080	mrna	461457	461789	+
392	secD	SL1344_RS02085	mrna	461817	463664	+
393	secF	SL1344_RS02090	mrna	463675	464646	+
394	SL1344_RS02095	SL1344_RS02095	mrna	464794	465159	+
395	SL1344_RS02100	SL1344_RS02100	mrna	465185	465877	+
396	yajD	SL1344_RS02105	mrna	466047	466394	+
397	SL1344_RS27350	SL1344_RS27350	mrna	466832	466939	+
398	SL1344_RS02115	SL1344_RS02115	mrna	467023	467886	-
399	SL1344_RS02120	SL1344_RS02120	mrna	468186	468725	-
400	nrdR	SL1344_RS02125	mrna	468877	469326	+
401	ribD	SL1344_RS02130	mrna	469330	470433	+
402	ribE	SL1344_RS02135	mrna	470522	470992	+
403	nusB	SL1344_RS02140	mrna	471013	471432	+
404	thiL	SL1344_RS02145	mrna	471511	472488	+
405	pgpA	SL1344_RS02150	mrna	472466	472981	+
406	SL1344_RS02155	SL1344_RS02155	mrna	473085	474059	-
407	dxs	SL1344_RS02160	mrna	474116	475978	-
408	ispA	SL1344_RS02165	mrna	476002	476901	-
409	xseB	SL1344_RS02170	mrna	476902	477144	-
410	thiI	SL1344_RS02175	mrna	477354	478802	+
411	phnV	SL1344_RS02180	mrna	478846	479643	-
412	phnU	SL1344_RS02185	mrna	479646	480506	-
413	phnT	SL1344_RS02190	mrna	480509	481618	-
414	phnS	SL1344_RS02195	mrna	481624	482637	-
415	phnR	SL1344_RS02200	mrna	482835	483554	-
416	phnW	SL1344_RS02205	mrna	483694	484797	+
417	phnX	SL1344_RS02210	mrna	484807	485616	+
418	yajL	SL1344_RS02215	mrna	485713	486303	-
419	panE	SL1344_RS02220	mrna	486266	487177	-
420	SL1344_RS02225	SL1344_RS02225	mrna	487303	487794	+
421	SL1344_RS02230	SL1344_RS02230	mrna	487841	489205	-
422	SL1344_RS02235	SL1344_RS02235	mrna	489742	491253	+
423	SL1344_RS02240	SL1344_RS02240	mrna	491265	492758	+
424	cyoE	SL1344_RS02245	mrna	492840	493730	-
425	SL1344_RS02250	SL1344_RS02250	mrna	493742	494071	-
426	SL1344_RS02255	SL1344_RS02255	mrna	494071	494685	-
427	cyoB	SL1344_RS02260	mrna	494675	496666	-
428	cyoA	SL1344_RS02265	mrna	496677	497633	-
429	ampG	SL1344_RS02270	mrna	498086	499561	-
430	SL1344_RS02275	SL1344_RS02275	mrna	499605	500183	-
431	bolA	SL1344_RS02280	mrna	500487	500804	+
432	tig	SL1344_RS02285	mrna	501151	502449	+
433	clpP	SL1344_RS02290	mrna	502696	503319	+
434	clpX	SL1344_RS02295	mrna	503571	504842	+
435	lon	SL1344_RS02300	mrna	505028	507382	+
436	hupB	SL1344_RS02305	mrna	507573	507863	+
437	ppiD	SL1344_RS02310	mrna	508154	510025	+
438	SL1344_RS02315	SL1344_RS02315	mrna	510175	510549	+
439	fadM	SL1344_RS02320	mrna	510653	511051	+
440	queC	SL1344_RS02325	mrna	511157	511852	-
441	SL1344_RS02330	SL1344_RS02330	mrna	511917	513617	-
442	cof	SL1344_RS02335	mrna	513718	514536	+
443	cdsH	SL1344_RS02340	mrna	514586	515641	-
444	decR	SL1344_RS02345	mrna	515754	516212	+
445	SL1344_RS02350	SL1344_RS02350	mrna	516253	518025	+
446	SL1344_RS02355	SL1344_RS02355	mrna	518018	519799	+
447	glnK	SL1344_RS02360	mrna	520012	520350	+
448	amtB	SL1344_RS02365	mrna	520382	521668	+
449	tesB	SL1344_RS02370	mrna	521768	522628	-
450	SL1344_RS02375	SL1344_RS02375	mrna	522843	523412	+
451	SL1344_RS02380	SL1344_RS02380	mrna	523445	523834	-
452	SL1344_RS02385	SL1344_RS02385	mrna	524065	525615	-
453	SL1344_RS02390	SL1344_RS02390	mrna	525840	526100	+
454	ykgO	SL1344_RS02395	mrna	526106	526246	+
455	SL1344_RS02400	SL1344_RS02400	mrna	526302	526772	-
456	maa	SL1344_RS02405	mrna	526889	527440	-
457	SL1344_RS02410	SL1344_RS02410	mrna	527619	527837	-
458	tomB	SL1344_RS02415	mrna	527865	528239	-
459	acrB	SL1344_RS02420	mrna	528735	531884	-
460	acrA	SL1344_RS02425	mrna	531907	533100	-
461	acrR	SL1344_RS02430	mrna	533242	533895	+
462	mscK	SL1344_RS02435	mrna	534014	537376	+
